"Classification","Name","Translated","Forms","Target population","Target population Description","From Age","To Age","Age range","Age Unit","Age displayed","Male","Female","Sex","SSI","SSI Unit","Additional information related to SSI results","Scientific Opinion SSI LINK","AIs","AIs Unit","ARs alt","ARs alt Unit","ARs","ARs Unit","PRIs","PRIs Unit","RI","RI Unit","YEAR","AUTHOR","Scientific Opinion on DRV","DOI","Scientific Opinion AR/PRI or AI or RI LINK","Additional information related to AR/PRI or AI or RI results","Additional information 2","Criteria used to set DRVs","UL","UL Unit","Scientific Opinion on the Tolerable Upper Intake Level ","Scientific Opinion UL LINK","Additional information related to UL results","Note for the webtool developer"
"Energy","Energy","Energie",,"Kojenci","Kojenci","10","10","10","mo","10 měsíců","0","1","Dívky",,,,,"NA",,656,"kcal/den","2,7","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","DRV pro energii jsou uvedeny jako průměrná potřeba (AR) specifických skupin dle věku a pohlaví a jejich použití pro jednotlivce je omezené. Jsou vyjádřeny v jednotkách energie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kojenci","Kojenci","11","11","11","mo","11 měsíců","0","1","Dívky",,,,,"NA",,673,"kcal/den","2,8","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","DRV pro energii jsou uvedeny jako průměrná potřeba (AR) specifických skupin dle věku a pohlaví a jejich použití pro jednotlivce je omezené. Jsou vyjádřeny v jednotkách energie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","1","1","1","y","1 rok PAL=1,4","1","0","Chlapci",,,,,"NA",,777,"kcal/den","3,3","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","2","2","2","y","2 roky PAL=1,4","1","0","Chlapci",,,,,"NA",,1028,"kcal/den","4,3","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","3","3","3","y","3 roky PAL=1,4","1","0","Chlapci",,,,,"NA",,1174,"kcal/den","4,9","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","4","4","4","y","4 roky PAL=1,4","1","0","Chlapci",,,,,"NA",,1256,"kcal/den","5,3","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","4","4","4","y","4 roky PAL=1,6","1","0","Chlapci",,,,,"NA",,1436,"kcal/den","6","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","4","4","4","y","4 roky PAL=1,8","1","0","Chlapci",,,,,"NA",,1615,"kcal/den","6,8","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","5","5","5","y","5 roků PAL=1,4","1","0","Chlapci",,,,,"NA",,1332,"kcal/den","5,6","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","5","5","5","y","5 roků PAL=1,6","1","0","Chlapci",,,,,"NA",,1522,"kcal/den","6,4","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","5","5","5","y","5 roků PAL=1,8","1","0","Chlapci",,,,,"NA",,1712,"kcal/den","7,2","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","6","6","6","y","6 roků PAL=1,4","1","0","Chlapci",,,,,"NA",,1409,"kcal/den","5,9","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","6","6","6","y","6 roků PAL=1,6","1","0","Chlapci",,,,,"NA",,1610,"kcal/den","6,7","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","6","6","6","y","6 roků PAL=1,8","1","0","Chlapci",,,,,"NA",,1811,"kcal/den","7,6","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","7","7","7","y","7 roků PAL=1,4","1","0","Chlapci",,,,,"NA",,1497,"kcal/den","6,3","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","7","7","7","y","7 roků PAL=1,6","1","0","Chlapci",,,,,"NA",,1711,"kcal/den","7,2","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","7","7","7","y","7 roků PAL=1,8","1","0","Chlapci",,,,,"NA",,1925,"kcal/den","8,1","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","8","8","8","y","8 roků PAL=1,4","1","0","Chlapci",,,,,"NA",,1592,"kcal/den","6,7","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","8","8","8","y","8 roků PAL=1,6","1","0","Chlapci",,,,,"NA",,1819,"kcal/den","7,6","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","8","8","8","y","8 roků PAL=1,8","1","0","Chlapci",,,,,"NA",,2046,"kcal/den","8,6","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","9","9","9","y","9 roků PAL=1,4","1","0","Chlapci",,,,,"NA",,1684,"kcal/den","7","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","9","9","9","y","9 roků PAL=1,6","1","0","Chlapci",,,,,"NA",,1925,"kcal/den","8,1","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","9","9","9","y","9 roků PAL=1,8","1","0","Chlapci",,,,,"NA",,2165,"kcal/den","9,1","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","10","10","10","y","10 roků PAL=1,6","1","0","Chlapci",,,,,"NA",,1933,"kcal/den","8,1","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","10","10","10","y","10 roků PAL=1,8","1","0","Chlapci",,,,,"NA",,2174,"kcal/den","9,1","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","10","10","10","y","10 roků PAL=2,0","1","0","Chlapci",,,,,"NA",,2416,"kcal/den","10,1","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","11","11","11","y","11 roků PAL=1,6","1","0","Chlapci",,,,,"NA",,2043,"kcal/den","8,5","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","11","11","11","y","11 roků PAL=1,8","1","0","Chlapci",,,,,"NA",,2298,"kcal/den","9,6","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","11","11","11","y","11 roků PAL=2,0","1","0","Chlapci",,,,,"NA",,2554,"kcal/den","10,7","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","12","12","12","y","12 roků PAL=1,6","1","0","Chlapci",,,,,"NA",,2174,"kcal/den","9,1","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","12","12","12","y","12 roků PAL=1,8","1","0","Chlapci",,,,,"NA",,2445,"kcal/den","10,2","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","12","12","12","y","12 roků PAL=2,0","1","0","Chlapci",,,,,"NA",,2717,"kcal/den","11,4","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","13","13","13","y","13 roků PAL=1,6","1","0","Chlapci",,,,,"NA",,2333,"kcal/den","9,8","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","13","13","13","y","13 roků PAL=1,8","1","0","Chlapci",,,,,"NA",,2625,"kcal/den","11","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Děti a adolescenti","Děti a adolescenti","13","13","13","y","13 roků PAL=2,0","1","0","Chlapci",,,,,"NA",,2916,"kcal/den","12,2","MJ/den","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pro děti a dospělé jsou průměrné potřeby (AR) pro energii poskytovány pro různé úrovně fyzické aktivity (PAL). Hodnoty PAL 1,4, 1,6, 1,8 a 2,0 odrážejí málo aktivní (sedavý), mírně aktivní, aktivní a velmi aktivní životní styl.",,,"NA",,,,"NA",
