"Classification","Name","Translated","Forms","Target population","Target population Description","From Age","To Age","Age range","Age Unit","Age displayed","Male","Female","Sex","SSI","SSI Unit","Additional information related to SSI results","Scientific Opinion SSI LINK","AIs","AIs Unit","ARs","ARs Unit","ARs alt","ARs alt Unit","PRIs","PRIs Unit","RI","RI Unit","YEAR","AUTHOR","Scientific Opinion on DRV","DOI","Scientific Opinion AR/PRI or AI or RI LINK","Additional information related to AR/PRI or AI or RI results","Additional information 2","Criteria used to set DRVs","UL","UL Unit","Scientific Opinion on the Tolerable Upper Intake Level ","Scientific Opinion UL LINK","Additional information related to UL results","Note for the webtool developer"
"Energy","Energy","Energia",,"Bambini","Bambini","7","7","7","a","7 anni PAL=1,6","1","0","Maschio",,,,,"NA",,"7,2","MJ/giorno",1711,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","7","7","7","a","7 anni PAL=1,8","1","0","Maschio",,,,,"NA",,"8,1","MJ/giorno",1925,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","8","8","8","a","8 anni PAL=1,4","1","0","Maschio",,,,,"NA",,"6,7","MJ/giorno",1592,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","8","8","8","a","8 anni PAL=1,6","1","0","Maschio",,,,,"NA",,"7,6","MJ/giorno",1819,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","8","8","8","a","8 anni PAL=1,8","1","0","Maschio",,,,,"NA",,"8,6","MJ/giorno",2046,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","9","9","9","a","9 anni PAL=1,4","1","0","Maschio",,,,,"NA",,"7","MJ/giorno",1684,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","9","9","9","a","9 anni PAL=1,6","1","0","Maschio",,,,,"NA",,"8,1","MJ/giorno",1925,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","9","9","9","a","9 anni PAL=1,8","1","0","Maschio",,,,,"NA",,"9,1","MJ/giorno",2165,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","10","10","10","a","10 anni PAL=1,6","1","0","Maschio",,,,,"NA",,"8,1","MJ/giorno",1933,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","10","10","10","a","10 anni PAL=1,8","1","0","Maschio",,,,,"NA",,"9,1","MJ/giorno",2174,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","10","10","10","a","10 anni PAL=2,0","1","0","Maschio",,,,,"NA",,"10,1","MJ/giorno",2416,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","11","11","11","a","11 anni PAL=1,6","1","0","Maschio",,,,,"NA",,"8,5","MJ/giorno",2043,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","11","11","11","a","11 anni PAL=1,8","1","0","Maschio",,,,,"NA",,"9,6","MJ/giorno",2298,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","11","11","11","a","11 anni PAL=2,0","1","0","Maschio",,,,,"NA",,"10,7","MJ/giorno",2554,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","12","12","12","a","12 anni PAL=1,6","1","0","Maschio",,,,,"NA",,"9,1","MJ/giorno",2174,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","12","12","12","a","12 anni PAL=1,8","1","0","Maschio",,,,,"NA",,"10,2","MJ/giorno",2445,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","12","12","12","a","12 anni PAL=2,0","1","0","Maschio",,,,,"NA",,"11,4","MJ/giorno",2717,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energia",,"Bambini","Bambini","13","13","13","a","13 anni PAL=1,6","1","0","Maschio",,,,,"NA",,"9,8","MJ/giorno",2333,"kcal/giorno","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Per bambini e adulti, gli AR per l'energia sono esposti per i diversi livelli di attività fisica (PAL). I valori PAL di 1,4, 1,6, 1,8 e 2,0 riflettono stili di vita scarsamente attivi (sedentari), moderatamente attivi, attivi e molto attivi. 
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
