"Nutrients","Image","PDF Annotations",,"Additional info / comments","What is it and what does it do?","Deficiency
(incl. if available)","Food sources
(incl. if available)","image (file name, location: T:\Kirsten\Images for DRV tool)","Text to be displayed in the results pop-up","news story","opinion",,
"Docosahexaenoic acid (DHA)","Docosahexaenoic acid (DHA) 302322275.jpg",,"Docosahexaenoic acid (DHA)","22 c","Docosahexaenoic acid (DHA) is a type of omega-3 long chain polyunsaturated fatty acid (PUFA). It can be obtained from the diet or can be synthesized from alpha-linolenic acid (ALA). As a component of membrane structural lipids, it has several biological functions in the body (e.g. cell membrane stability, neurological development and function). ","N/A","Food sources of DHA include fish, human milk and cultivated marine algae","(sources: Fish, fish oils, specialty egg/dairy products) > shutterstock_529742842",,,,,
"Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)","Docosahexaenoic acid (DHA) 302322275.jpg","For pregnant and lactating women, the value should be added to the AI of non-pregnant, non-lactating women.","Eicosapentaenoic acid (EPA) + Docosahexaenoic acid (DHA)","EPA 20 c; DHA 22 c","Eicosapentaenoic acid (EPA) is a type of omega 3 long-chain polyunsaturated fatty acid (PUFA). It can be obtained from the diet or be synthesised in the body from alpha-linolenic acid (ALA). As a precursor eicosanoids, it is involved in the regulation of blood pressure, renal function, blood coagulation, and inflammatory and immunological reactions.

Docosahexaenoic acid (DHA) is a type of omega-3 long chain polyunsaturated fatty acid (PUFA). It can be obtained from the diet or can be synthesized from alpha-linolenic acid (ALA). As a component of membrane structural lipids, it has several biological functions in the body (e.g. cell membrane stability, neurological development and function). ","N/A","Food sources of EPA+DHA include fish, human milk and cultivated marine algae","acid (sources: Fish, fish oils, marine sources, specialty egg/dairy products) > shutterstock_241878163",,,,,
"Linoleic acid (LA)","Linoleic acid (LA) 236784790.jpg","E%: percentage of energy intake","Linoleic acid (LA)","omega-6; 18 c","Linoleic acid (LA) is a type of omega-6 polyunsaturated fatty acid (PUFA) of vegetable origin that must be obtained through the diet. It is the parent compound of long-chain omega-6 fatty acids synthesised in the body.","Deficiency in LA may result in scaly skin, dermatitis, and reduced impaired growth (IOM 2006, p.125)","Food sources of LA include vegetable oils (e.g. corn, soybean, sunflower, and rapeseed oils); dressings and fat spreads","(sources: Salicornia oil, poppyseed oil, sunflower oil, corn oil, rice bran oil, sesame oil, argan oil, pistachio oil…) > shutterstock_236784790",,,,,
"Saturated fatty acids (SFA)","Saturated fatty acids (SFA) 360064298.jpg","ALAP: as low as possible","Saturated fatty acids (SFA)","*no double bonds","Saturated fatty acids (SFA) are components of dietary fats or lipids which do not contain double bonds within their carbon tails. SFA are synthesised in the body and not required in the diet. Their metabolic role in the body is not precisely known.
","N/A","Food sources of SFA include animal- and plant-derived foods; dairy fat; coconut and palm kernel oils; cocoa butter","shutterstock_360064298",,,,,
"Trans-fatty acids (TFA)","Trans-fatty acids (TFA) 85525171.jpg","ALAP: as low as possible","Trans-fatty acids (TFA)","*most UFAs in diet have cis config but trans fatty acids are also present; both trans-MUFA and trans-PUFA exist (latter- at least 1 trans db, others may be cis)","Trans-fatty acids (TFA) are unsaturated fatty acids which contain a trans chemical double bound between carbon atoms. They are not synthesised in the body and are not required in the diet. Their metabolic role in the body is not precisely known.","N/A","Food sources of TFA include dairy products, meat fats, margarine, hydrogenated vegetable oil, partially hydrogenated fish oil, human milk","shutterstock_273398612",,,,,
"Protein","Protein 437586157.jpg","ARs/PRIs have to be multiplied by the reference body weight to calculate values in g/day. 

For pregnant and lactating women, the value should be added to the AR/PRI of non-pregnant, non-lactating women.",,,"Dietary proteins are the source of nitrogen and indispensable amino acids which the body requires for tissue growth and maintenance. ","Protein deficiency increases the risk of bone fragility and fracture.","The main sources of protein in European adult diets are meat and meat products, followed by grains/grain-based products and milk/dairy products.","shutterstock_437586157 for protein","Dietary reference values for protein are expressed on a kg body weight basis. To be multiplied by reference body weights to calculate values in g/day","https://www.efsa.europa.eu/en/press/news/120209","https://www.efsa.europa.eu/en/efsajournal/pub/2557",,
"Water","Water 73168906.jpg","AIs for water relate to water from beverages of all kind, including drinking and mineral water, and water contained in food.",,"[info for result popup] ""The DRVs for water cover water from all sources, including drinking water, mineral water and water contained in food.
Water from internal oxidation process is not included in the setting of DRVs.""","Water is essential for practically all functions of the body and is particularly important for thermoregulation. ","Dehydration (loss of body water) can result in reduced physical and cognitive performance, thermoregulation and cardiovascular function. A loss of 10% or more of body water can be fatal.","Water intake includes water from beverages and food. ","shutterstock_73168906 for water","The DRVs for water cover water from all sources, including drinking water, mineral water and water contained in food.
Water from internal oxidation process is not included in the setting of DRVs.","n/a","https://www.efsa.europa.eu/en/efsajournal/pub/1459",,
"Minerals","Minerals 401701420.jpg",,,,"In nutrition, minerals are inorganic substances required as nutrients by the body to perform a variety of functions. EFSA set DRVs for calcium, copper, fluoride, iodine, iron, magnesium, manganese, molybdenum, phosphorus, potassium, selenium and zinc.",,,"shutterstock_401701420 if necessary",,,,,
"Calcium","Calcium 366258461.jpg",,"calcium",,"Calcium is an essential dietary mineral and an integral component of the skeleton. Approximately 99% of total body calcium is found in bones and teeth, where it has a structural role. The remaining 1% of calcium found in the body acts as an intracellular messenger in cells and tissues.","Calcium deficiency causes  a reduction in bone mass, leading to a lower than normal bone mineral density, as well as to various skeletal disorders including rickets, osteomalacia (adult rickets), osteoporosis and fractures. ","Food sources of calcium are dairy products. Other rich food sources include dark green vegetables, legumes, nuts, fish with soft bones and calcium-fortified foods. ","shutterstock_540453118 for calcium",,"https://www.efsa.europa.eu/en/press/news/150527-0","https://www.efsa.europa.eu/en/efsajournal/pub/4101",,
"Copper","Copper 555008632.jpg",,"copper",,"Copper is an essential nutrient. It is required for electron transfer processes and is a central component of many enzymes, including those involved in neurotransmitter synthesis, in energy metabolism and in collagen and elastin cross-linking.","Copper deficiency may result in several symptoms, given the wide range of associated enzymes; however, most often symptoms include neurological deficits, lax skin, and muscular weakness.","Food sources of copper include liver, some seafood (oysters), cocoa products, nuts (particularly cashews) and seeds.","shutterstock_402556945",,,"http://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2015.4253/epdf",,
"Fluoride","Fluoride 426624454.jpg",,"fluoride",,"Fluoride is not an essential nutrient. Therefore, no average requirement for essential physiological functions can be defined. Nevertheless, an adequate intake for fluoride has been set due to the beneficial effects of dietary fluoride for the prevention of dental caries.","No signs of fluoride deficiency have been identified. ","Food sources of fluoride  are  water  and  water-based  beverages  or  foods  reconstituted  with fluoridated  water,  tea,  marine  fish,  and  fluoridated  salt.","shutterstock_426624454 - marine fish for fluoride",,"https://www.efsa.europa.eu/en/press/news/130808","https://www.efsa.europa.eu/en/efsajournal/pub/3332",,
"Iodine","Iodine 550602175.jpg",,"iodine",,"Iodine is an essential nutrient. It is an integral component of thyroid hormones and therefore contributes to the regulation of energy metabolism. It is particularly important during early growth, development, and maturation of most organs.","Insufficient intake of iodine can lead to impaired thyroid function and disorders at all stages of development, particularly in pregnancy and infancy.","Food sources of iodine are marine and dairy products, and iodised salt. ","shutterstock_550602175 for iodine",,"https://www.efsa.europa.eu/en/press/news/140507","https://www.efsa.europa.eu/en/efsajournal/pub/3660",,
"Iron","Iron 530292793.jpg","For premenopausal women (including lactating and pregnant women), the PRI covers the requirement of approximately 95 % of women.","iron",,"Iron is required for oxygen transport, electron transfer, oxidase activities and energy metabolism. The main components of the body that contain iron are erythrocyte haemoglobin and muscle myoglobin, liver ferritin, and haem and non-haem enzymes.","Iron deficiency is associated with ""reduced physical work capacity, delayed psychomotor development in infants, impaired cognitive function, and adverse effects for both the mother and the fetus."" (IOM 2006, pg.336)

to be paraphrased?","Food sources of iron include meat, fish, cereals, beans, nuts, egg yolks, dark green vegetables, potatoes and fortified food products","shutterstock_388326205",,,"http://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2015.4254/epdf",,
"Magnesium","Magnesium 531047605.jpg",,"magnesium",,"Magnesium is required in many enzymatic reactions in the body. Magnesium can modulate membrane permeability and electrical characteristics. Magnesium has also a structural role in bone.","Magnesium deficiency may result in low calcium and/or potassium levels which could lead to neurological or cardiac issues.","Food sources of magnesium include nuts, whole grains and grain products, fish and seafood, several vegetables, legumes, berries, banana and some coffee and cocoa beverage preparations. The magnesium content of tap/bottle water can make a significant contribution to intake.","shutterstock_531047605",,,"http://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2015.4186/epdf",,
"Manganese","Manganese 485564545.jpg","For infants, in view of the wide range of manganese intakes that appear to be adequate, a range is set for the AI of this age group.","manganese",,"Manganese is an essential dietary mineral. It is an important component of enzymes involved in amino acid, lipid and carbohydrate metabolism. It is also necessary for proper bone formation.","No specific deficiency syndrome has been described for humans. ","Food sources of manganese include nuts, chocolate, cereal-based products, crustaceans and molluscs, pulses, and fruits and fruit products. The main contributors to the manganese intake of adults are cereal-based products, vegetables, fruits and fruit products and beverages.","shutterstock_418549027 for manganese",,"https://www.efsa.europa.eu/en/press/news/131104","https://www.efsa.europa.eu/en/efsajournal/pub/3419",,
"Molybdenum","Molybdenum 418549027.jpg",,"molybdenum",,"Molybdenum is required as an essential component of several enzymes involved in oxidation-reduction reactions and transfer of electrons.","Molybdenum deficiency in healthy humans has not been observed.","Food sources of molybdenum include pulses, cereal grains and grain products, offal (liver, kidney) and nuts. ","shutterstock_593176622",,"https://www.efsa.europa.eu/en/press/news/130808","https://www.efsa.europa.eu/en/efsajournal/pub/3333",,
"Phosphorus","Phosphorus 559422934.jpg",,"phosphorus",,"Phosphorus is an essential nutrient and is involved in many physiological processes, such as the cell’s energy cycle, regulation of the body’s acid-base balance, cell regulation and signalling, and the mineralisation of bones and teeth. It is also a component of cell structure.","Low phosphorus levels may be associated with conditions such as annorexia, anaemia, muscle weakness, bone pain, and others.","Food sources of phosphorus include foods high in protein (e.g. milk and milk products), meat, poultry, fish, grain products and legumes.","shutterstock_559422934",,"https://www.efsa.europa.eu/en/press/news/150728","https://www.efsa.europa.eu/en/efsajournal/pub/4185",," "
"Potassium","Potassium 401736550.jpg",,"potassium",,"Potassium is an essential mineral in the human diet. It plays an important role in many physiological processes in the human body including the distribution of body fluids, nerve impulse transmission and muscle contraction.","Low potassium intakes are associated with raised blood pressure and increased risk of stroke. ","Food sources of potassium include starchy roots or tubers, vegetables and fruit, whole grains, dairy products and coffee.","potassium shutterstock_401736550",,"https://www.efsa.europa.eu/en/press/news/161025","https://www.efsa.europa.eu/en/efsajournal/pub/4592",,
"Selenium","Selenium 405877411.jpg",,"selenium",,"Selenium is an essential dietary mineral. It is an important component of selenoproteins which belong to the human antioxidant network and regulate thyroid hormone metabolism.","Low selenium intakes may be associated with skeletal myopathy, muscle weakness, myxoedematous cretinism (when combined with low iodine intake). Selenium deficiency may also increase the risk of developing Keshan and Kashin-Beck diseases.","Food sources of selenium include meat, seafood, grains, dairy products, fruits, and vegetables. Note: the selenium content of foods greatly varies depending on the selenium content of the soil where the animal was raised or where the plant was grown. (IOM 2006, pg.380)","shutterstock_405877411",,,"http://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2014.3846/epdf",,
"Zinc","Zinc 527366725.jpg","For infants and children, the fractional absorption of zinc considered in setting PRIs was based on data from mixed diets expected to contain variable quantities of phytate; therefore, no adjustment for phytate intake has been made.

For adults, ARs and PRIs for zinc are provided for four levels of phytate intake (LPI): 300, 600, 900 and 1,200 mg/day.

For pregnant and lactating women, the value should be added to the AR/PRI of non-pregnant, non-lactating women.","zinc              ","will need explanatory note about the fact tha DRvs are set according to level of phytate intake 

CCL-we can add it elsewhere","Zinc is an essential mineral in the diet.  Zinc is an important part of the structure of certain proteins and serves as a catalyst for many enzymes. Zinc is heavily involved in the regulation of gene expression and intracellular signalling.","No specific deficiency syndrome has been described for humans. ","Food sources of zinc include meat, legumes, eggs, fish, and grains. Grain-based products are rich dietary zinc sources.","shutterstock_527366725",,,"http://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2014.3844/epdf",,
"Vitamins","Vitamins 423108550.jpg",,,,"Vitamins are organic compounds which are essential for a variety of functions in the body. EFSA set DRVs for biotin, choline, cobalamin (vitamin B12), folate, niacin, pantothenic acid, riboflavin, thiamin, vitamins A, B6, C, D, E as α-tocopherol, and K as phylloquinone.",,,"shutterstock_423108550 if necessary",,,,,
"Biotin","Biotin 695325472.jpg",,"Biotin",,"Biotin is a water-soluble B-vitamin which plays an important role in energy and fatty acid metabolism.","Dietary biotin deficiency is rare, but it is characterized by fine scaly dermatitis, hair loss, conjunctivitis, ataxia and delayed child development.","Food sources of biotin include meat, fish, poultry, egg, some cheeses, and some vegetables.","shutterstock_587425010",,,"https://www.efsa.europa.eu/en/efsajournal/pub/3580 ",,
"Choline","Choline 241353865.jpg","Values relates to choline in free or esterified forms (e.g. glycerophosphocholine, phosphocholine, phosphatidylcholine, sphingomyelin).","Choline",,"Choline is a water-soluble organic compound. The human body can make choline on its own, but for sufficient levels, it is dependent on intake through the diet. Choline is an integral part of some phospholipids; it is involved in the metabolism and transport of lipids and in cholinergic neurotransmission.","Choline deficiency is associated with liver and muscle damage.","Food sources of choline include eggs, meats, fish, whole grains, vegetables and fruit, and fast and oils.","shutterstock_417927580",,,"http://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2016.4484/epdf ",,
"Cobalamin (vitamin B12)","Cobalamin 538302322.jpg",,"Cobalamin (vit B12)",,"Cobalamin (vitamin B12) is a water-soluble vitamin that  is involved, as a coenzyme, in amino acid, nucleotide, neurotransmitter and phospholipid metabolism.","Cobalamin deficiency may result in megaloblastic anaemia (or ???) which affects red blood cells and all other blood cells. Late stage symptoms include imparied oxygen delivery, such as fatigue and shortness of breath.","Food sources of cobalamin include meat, fish, dairy products, eggs and liver.","shutterstock_538302322",,,"http://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2015.4150/epdf",,
"Folate","Folate 262043627.jpg","Values relate to food folate and folic acid.

DFE: dietary folate equivalents. Natural food folates have a lower bioavailability than folic acid. DFE have been introduced to account for these differences.  For combined intakes of food folate and folic acid, DFEs can be computed as follows: μg DFE = μg food folate + (1.7 x μg folic acid).

The UL applies to folic acid (synthetic).","Folate",,"Folate is a generic term used for a family of water-soluble compounds which belong to the group of B-vitamins.  It is required for the synthesis of ribo- and deoxyribonucleic acids (RNA and DNA) and consequently for normal cell and body function.","Folate deficiency is associated with inhibited cell growth and development.","Food sources rich in folate include dark green leafy vegetables, legumes, orane and grapefruit (juice), peanuts and almonds.","shutterstock_262043627",,,"http://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2014.3893/epdf ",,
"Niacin","Niacin 437586160.jpg","Values relate to niacin in the form of nicotinamide and nicotinic acid. Niacin can be synthesised in the human body from the indispensable amino acid tryptophan.

NE: niacin equivalent (1 NE = 1 mg niacin = 60 mg dietary tryptophan) 

Niacin requirement is related to energy requirement and therefore expressed in mg NE/MJ. Values expressed in mg NE/day can be calculated based on the energy requirement of the group considered (EFSA NDA Panel, 2013).","Niacin",,"Niacin is a a generic term for nicotinic acid and nicotinamide, which are water-soluble organic compounds that belong to the group of B-vitamins. Niacin is required for oxidation-reduction reactions as well as catabolic and anabolic processes.  The human body can make niacin on its own, but it can also be obtained from food.","Niacin deficiency is rare in industrialised countries, but long-term niacin deficiency may result in pellagra, a condition characterized by photosensitive dermatitis, skin lesions, tongue and mouth soreness, vomiting, diarrhoea, depression and dementia.","Food sources of niacin include liver, meat and meat products, fish, peanuts, whole grains, milk, cheese and eggs, and coffee.","shutterstock_361811642",,,"http://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2014.3759/epdf ",,
"Pantothenic acid","Pantothenic acid 367666061.jpg",,"Pantothenic acid (vitamin B5)",,"Pantothenic acid is a water-soluble vitamin which belongs to the group of B-vitamins. It contributes to fatty acid  and amino acid metabolism.","Pantothenic acid is ubiquitous in foods and dietary deficiency is rare.","Food sources of pantothenic acid include meat and meat products, eggs, nuts, avocados, and cruciferous vegetables.","shutterstock_367666061",,,"http://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2014.3581/epdf",,
"Riboflavin","Riboflavin 102461903.jpg","Values relate to riboflavin in the form of free riboflavin, flavin mononucleotide and flavin adenine dinucleotide.","Riboflavin (vitamin B2)","ccl- do we need to specify that ""total riboflavin"" = sum of 3 components: riboflavin, FMN and FAD ?","Riboflavin is a water-soluble organic compound which belongs to the group of B-vitamins. It contributes to energy metabolism, metabolic pathways, and the formation of some vitamins (e.g. niacin and vitamin B6) and coenzymes. ","Riboflavin deficiency results in nonspecific symptoms, including sore throat, excess blood or fluid in pharyngeal and oral mucous membranes, and others.","Food sources of riboflavin include milk, milk products, eggs, and offal (animal entrails and internal organs).","shutterstock_367666061",,,"http://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2017.4919/epdf","<-- 2017 pub ",
"Thiamin","Thiamin 153681581.jpg","Thiamin requirement is related to energy requirement and therefore expressed in mg/MJ. Values expressed in mg/day can be calculated based on the energy requirement of the group considered (EFSA NDA Panel, 2013).","Thiamin (vitamin B1)",,"Thiamin is a water-soluble organic compound which belongs to the group of B-vitamins. It plays an important role in maintaining healthy nervous and cardiovascular systems. ","Thiamin deficiency can cause beriberi, a condition affecting the neurological and cardiovascular systems, with symptoms such as extreme fatigue, forgetfulness, poor coordination and weight loss.","Food sources of thiamin include whole grains, pulses, red meat, fish, seeds and nuts.","mixed nuts for thiamin shutterstock_535384492",,"https://www.efsa.europa.eu/en/press/news/161219","https://www.efsa.europa.eu/en/efsajournal/pub/4653",,
"Vitamin A","Vitamin A 558453145.jpg","Values relate to vitamin A in the form of retinol, retinyl esters and provitamin A carotenoids. 

RE: retinol equivalent. Provitamin A carotenoids have a lower bioavailability than retinol. In order to take into account these differences, RE have been introduced and defined as 1 μg RE = 1 μg of retinol = 6 μg of β-carotene = 12 μg of other carotenoids with provitamin A activity. 

The UL applies to vitamin A as retinol or retinyl esters. No adequate data to derive a UL for β-carotene.","Vitamin A",,"Vitamin A is important for the maintenance of healthy vision, and the growth and integrity of cells in body tissues. It is obtained from the diet, either as pre-formed vitamin A (mainly retinol and retinyl esters) in foods of animal origin, or as provitamin A carotenoids, e.g. beta-carotene, in plant-derived foods.","Vitamin A deficiency can cause xerophthalmia, an eye condition that typically affects young children. It is also associated in some low-income countries with respiratory infection, diarrhoea and increased mortality. ","Foods rich in vitamin A include meat, butter, retinol-enriched margarine, dairy products, eggs, and vegetables and fruits such as sweet potatoes, carrots, pumpkins, dark green leafy vegetables, sweet red peppers, mangoes and melons.","shutterstock_558453145",,"https://www.efsa.europa.eu/en/press/news/150305","https://www.efsa.europa.eu/en/efsajournal/pub/4028",,
"Vitamin B6","Vitamin B6 532506703.jpg","Values relate to vitamin B6 in the form of pyridoxine, pyridoxal, pyridoxamine and their phosphorylated forms.","Vitamin B6",,"Vitamin B6 is a water-soluble vitamin that contributes to the body’s energy metabolism, the normal functioning of the nervous system, red blood cell formation and the regulation of hormonal activity. ","The most typical features of vitamin B6 deﬁciency are anaemia and neurological abnormalities. ","Foods that contain vitamin B6 include fish, poultry, liver, potatoes and non-citrus fruit.","nuts for vitamin B6",,"https://www.efsa.europa.eu/en/press/news/160624","https://www.efsa.europa.eu/en/efsajournal/pub/4485",,
"Vitamin C","Vitamin C 264514838.jpg",,"Vitamin C",,"Vitamin C is a water-soluble vitamin which plays an important part of the antioxidant network of the body. Vitamin C is cosubstrate of several enzymes involved in the biosynthesis of collagen, carnitine and catecholamines, among others.  
","Deficiency in vitamin C can result in scurvey, a condition destabilising the connective tissue collagen and bones. ","The main contributors to the vitamin C intake of adults are fruits and vegetables and their juices, and potatoes. ","shutterstock_304181699 for vitamin C",,"https://www.efsa.europa.eu/en/press/news/131104","https://www.efsa.europa.eu/en/efsajournal/pub/3418",,
"Vitamin D","Vitamin D 465164366.jpg","Values relate to vitamin D in the form of ergocalciferol (vitamin D2) and cholecalciferol (vitamin D3).

The setting of the AI for vitamin D assumes minimal cutaneous vitamin D synthesis. In the presence of endogenous vitamin D synthesis, the requirement for dietary vitamin D is lower or may even be zero.","Vitamin D","explanatory note that AI is set under conditions of assumed minimal cutaneous vitamin D synthesis (can be deleted once text to the right has been agreed/approved)
is taken care of in text which is taken from already approved text in comms output","Vitamin D is a fat-soluble vitamin that helps to maintain normal bones and muscle function. It can be obtained from food sources in the form of vitamin D2 (or ergocalciferol) or vitamin D3 (cholecalciferol). The latter form is also synthesised in the skin exposed to sunlight. ","Vitamin D deficiency may have a negative impact on bone density, resulting in soft bones in children (rickets) and fragile, misshapen bones in adults.","Food sources of vitamin D include fatty fish, dairy products and eggs. Vitamin D can also be synthesised in the body by exposure to the sun.","vitamin D shutterstock_360639251","The setting of the adequate intake (AI) for vitamin D assumes minimal exposure to sunlight as a source of vitamin D. ","https://www.efsa.europa.eu/en/press/news/161028","https://www.efsa.europa.eu/en/efsajournal/pub/4547",,
"Vitamin E as α-tocopherol","a-Tocopherol (vit E) 381113728.jpg",,"α-Tocopherol (vit E)",,"α-tocopherol (Vitamin E) is a fat-soluble vitamin and part of the antioxidant defence system.","Low α-tocopherol levels are associated with neurological symptoms, including ataxia.","Food sources of α-tocopherol include vegetable oils, fat spreads from vegetable oils, nuts and seeds, some fatty fish, egg yolk, and whole grain cereals.","shutterstock_227256109",,,"http://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2015.4149/epdf ",,
"Vitamin K as phylloquinone","Vitamin K.jpg","Vitamin K naturally occurs in food as phylloquinone (vitamin K1) and menaquinones (vitamin K2). However, current evidence on menaquinones is insufficient, and the AI for vitamin K is based on phylloquinone only.","Vitamin K","explanatory note that Panel considers that available evidence on intake, absorption, function and content in the body or
organs of menaquinones is insufficient, and thus sets AIs for phylloquinone only - ","Vitamin K represents a family of fat-soluble compounds that plays an important role in blood coagulation and bone mineralisation. Vitamin K naturally occurs in food as phylloquinone (vitamin K1) and menaquinones (vitamin K2). ","Low vitamin K intake is associated with a tendency to bleeding due to a low activity of blood coagulation factors. ","Food sources of vitamin K include dark green leafy vegetables such as spinach, lettuce, kale and Brussels sprouts.","shutterstock_550196611 - for vitamin K","The AI for vitamin K is based on phylloquinone only","https://www.efsa.europa.eu/en/press/news/170522-1","https://www.efsa.europa.eu/en/efsajournal/pub/4780",,
