"Classification","Name","Translated","Forms","Target population","Target population Description","From Age","To Age","Age range","Age Unit","Age displayed","Male","Female","Sex","SSI","SSI Unit","Additional information related to SSI results","Scientific Opinion SSI LINK","AIs","AIs Unit","ARs","ARs Unit","ARs alt","ARs alt Unit","PRIs","PRIs Unit","RI","RI Unit","an","AUTHOR","Scientific Opinion on DRV","DOI","Scientific Opinion AR/PRI or AI or RI LINK","Additional information related to AR/PRI or AI or RI results","Additional information 2","Criteria used to set DRVs","UL","UL Unit","Scientific Opinion on the Tolerable Upper Intake Level ","Scientific Opinion UL LINK","Additional information related to UL results","Note for the webtool developer"
"Energy","Energy","Énergie",,"Nourrissons","Nourrissons","10","10","10","mo","10 mois","0","1","Filles",,,,,"NA",,"2,7","MJ/jour",656,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Les valeurs de référence nutritionnelles pour l'énergie sont fournies en termes de besoins nutritionnel moyen (BNM) pour des groupes d'âge et de sexe spécifiques et sont d'une utilité limitée pour les individus. Elles sont exprimées en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Nourrissons","Nourrissons","11","11","11","mo","11 mois","0","1","Filles",,,,,"NA",,"2,8","MJ/jour",673,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Les valeurs de référence nutritionnelles pour l'énergie sont fournies en termes de besoins nutritionnel moyen (BNM) pour des groupes d'âge et de sexe spécifiques et sont d'une utilité limitée pour les individus. Elles sont exprimées en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","1","1","1","y","1 an NAP=1.4","1","0","Garçons",,,,,"NA",,"3,3","MJ/jour",777,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","2","2","2","y","2 ans NAP=1.4","1","0","Garçons",,,,,"NA",,"4,3","MJ/jour",1028,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","3","3","3","y","3 ans NAP=1.4","1","0","Garçons",,,,,"NA",,"4,9","MJ/jour",1174,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","4","4","4","y","4 ans NAP=1.4","1","0","Garçons",,,,,"NA",,"5,3","MJ/jour",1256,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","4","4","4","y","4 ans NAP=1.6","1","0","Garçons",,,,,"NA",,"6","MJ/jour",1436,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","4","4","4","y","4 ans NAP=1.8","1","0","Garçons",,,,,"NA",,"6,8","MJ/jour",1615,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","5","5","5","y","5 ans NAP=1.4","1","0","Garçons",,,,,"NA",,"5,6","MJ/jour",1332,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","5","5","5","y","5 ans NAP=1.6","1","0","Garçons",,,,,"NA",,"6,4","MJ/jour",1522,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","5","5","5","y","5 ans NAP=1.8","1","0","Garçons",,,,,"NA",,"7,2","MJ/jour",1712,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","6","6","6","y","6 ans NAP=1.4","1","0","Garçons",,,,,"NA",,"5,9","MJ/jour",1409,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","6","6","6","y","6 ans NAP=1.6","1","0","Garçons",,,,,"NA",,"6,7","MJ/jour",1610,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","6","6","6","y","6 ans NAP=1.8","1","0","Garçons",,,,,"NA",,"7,6","MJ/jour",1811,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","7","7","7","y","7 ans NAP=1.4","1","0","Garçons",,,,,"NA",,"6,3","MJ/jour",1497,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","7","7","7","y","7 ans NAP=1.6","1","0","Garçons",,,,,"NA",,"7,2","MJ/jour",1711,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","7","7","7","y","7 ans NAP=1.8","1","0","Garçons",,,,,"NA",,"8,1","MJ/jour",1925,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","8","8","8","y","8 ans NAP=1.4","1","0","Garçons",,,,,"NA",,"6,7","MJ/jour",1592,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","8","8","8","y","8 ans NAP=1.6","1","0","Garçons",,,,,"NA",,"7,6","MJ/jour",1819,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","8","8","8","y","8 ans NAP=1.8","1","0","Garçons",,,,,"NA",,"8,6","MJ/jour",2046,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","9","9","9","y","9 ans NAP=1.4","1","0","Garçons",,,,,"NA",,"7","MJ/jour",1684,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","9","9","9","y","9 ans NAP=1.6","1","0","Garçons",,,,,"NA",,"8,1","MJ/jour",1925,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","9","9","9","y","9 ans NAP=1.8","1","0","Garçons",,,,,"NA",,"9,1","MJ/jour",2165,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","10","10","10","y","10 ans NAP=1.6","1","0","Garçons",,,,,"NA",,"8,1","MJ/jour",1933,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","10","10","10","y","10 ans NAP=1.8","1","0","Garçons",,,,,"NA",,"9,1","MJ/jour",2174,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","10","10","10","y","10 ans NAP=2.0","1","0","Garçons",,,,,"NA",,"10,1","MJ/jour",2416,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","11","11","11","y","11 ans NAP=1.6","1","0","Garçons",,,,,"NA",,"8,5","MJ/jour",2043,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","11","11","11","y","11 ans NAP=1.8","1","0","Garçons",,,,,"NA",,"9,6","MJ/jour",2298,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","11","11","11","y","11 ans NAP=2.0","1","0","Garçons",,,,,"NA",,"10,7","MJ/jour",2554,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","12","12","12","y","12 ans NAP=1.6","1","0","Garçons",,,,,"NA",,"9,1","MJ/jour",2174,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Énergie",,"Enfants","Enfants","12","12","12","y","12 ans NAP=1.8","1","0","Garçons",,,,,"NA",,"10,2","MJ/jour",2445,"kcal/jour","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Pour les enfants et les adultes, des BNM en énergie sont fournis pour différents niveaux d'activité physique (NAP). Les valeurs NAP correspondant à 1,4 - 1,6 - 1,8 et 2,0 reflètent respectivement des modes de vie peu actifs (sédentaires), modérément actifs, actifs et très actifs. Les BNM en énergie sont exprimés en unités d'énergie. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
