Classification;Name;Translated;Forms;Target population;Target population Description;From Age;To Age;Age range;Age Unit;Age displayed;Male;Female;Sex;SSI;SSI Unit;Additional information related to SSI results;AIs;AIs Unit;ARs;ARs Unit;ARs alt;ARs alt Unit;PRIs;PRIs Unit;RI;RI Unit;YEAR;AUTHOR;Scientific Opinion on DRV;DOI;Scientific Opinion AR/PRI or AI or RI LINK;Additional information related to AR/PRI or AI or RI results;Additional information 2;Criteria used to set DRVs;UL;UL Unit;Scientific Opinion on the Tolerable Upper Intake Level ;Scientific Opinion UL LINK;Additional information related to UL results;Note for the webtool developer
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;6;6;6;a;6 години PAL=1.6;1;0;Мажи;;;;NA;;6,7;MJ / ден;2445;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;6;6;6;a;6 години PAL=1.8;1;0;Мажи;;;;NA;;7,6;MJ / ден;2717;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;7;7;7;a;7 години PAL=1.4;1;0;Мажи;;;;NA;;6,3;MJ / ден;2333;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;7;7;7;a;7 години PAL=1.6;1;0;Мажи;;;;NA;;7,2;MJ / ден;2625;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;7;7;7;a;7 години PAL=1.8;1;0;Мажи;;;;NA;;8,1;MJ / ден;2916;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;8;8;8;a;8 години PAL=1.4;1;0;Мажи;;;;NA;;6,7;MJ / ден;2513;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;8;8;8;a;8 години PAL=1.6;1;0;Мажи;;;;NA;;7,6;MJ / ден;2828;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;8;8;8;a;8 години PAL=1.8;1;0;Мажи;;;;NA;;8,6;MJ / ден;3142;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;9;9;9;a;9 години PAL=1.4;1;0;Мажи;;;;NA;;7;MJ / ден;2699;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;9;9;9;a;9 години PAL=1.6;1;0;Мажи;;;;NA;;8,1;MJ / ден;3036;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;9;9;9;a;9 години PAL=1.8;1;0;Мажи;;;;NA;;9,1;MJ / ден;3374;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;10;10;10;a;10 години PAL=1.6;1;0;Мажи;;;;NA;;8,1;MJ / ден;2845;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;10;10;10;a;10 години PAL=1.8;1;0;Мажи;;;;NA;;9,1;MJ / ден;3201;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;10;10;10;a;10 години PAL=2.0;1;0;Мажи;;;;NA;;10,1;MJ / ден;3556;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;11;11;11;a;11 години PAL=1.6;1;0;Мажи;;;;NA;;8,5;MJ / ден;2940;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;11;11;11;a;11 години PAL=1.8;1;0;Мажи;;;;NA;;9,6;MJ / ден;3307;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;11;11;11;a;11 години PAL=2.0;1;0;Мажи;;;;NA;;10,7;MJ / ден;3675;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;12;12;12;a;12 години PAL=1.6;1;0;Мажи;;;;NA;;9,1;MJ / ден;712;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;12;12;12;a;12 години PAL=1.8;1;0;Мажи;;;;NA;;10,2;MJ / ден;946;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
