"Classification","Name","Translated","Forms","Target population","Target population Description","From Age","To Age","Age range","Age Unit","Age displayed","Male","Female","Sex","SSI","SSI Unit","Additional information related to SSI results","Scientific Opinion SSI LINK","AIs","AIs Unit","ARs alt","ARs alt Unit","ARs","ARs Unit","PRIs","PRIs Unit","RI","RI Unit","an","AUTHOR","Scientific Opinion on DRV","DOI","Scientific Opinion AR/PRI or AI or RI LINK","Additional information related to AR/PRI or AI or RI results","Additional information 2","Criteria used to set DRVs","UL","UL Unit","Scientific Opinion on the Tolerable Upper Intake Level ","Scientific Opinion UL LINK","Additional information related to UL results","Note for the webtool developer"
"Energy","Energy","Energie",,"Säuglinge","Säuglinge","10","10","10","mo","10 Monate","0","1","Weiblich",,,,,"NA",,656,"kcal/Tag","2,7","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Referenzwerte für die Nährstoffzufuhr werden jeweils als Durchschnittsbedarf (AR) der angegebenen Alters- und Geschlechtsgruppen angegeben und sind für Einzelpersonen von begrenztem Nutzen. Sie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Säuglinge","Säuglinge","11","11","11","mo","11 Monate","0","1","Weiblich",,,,,"NA",,673,"kcal/Tag","2,8","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Referenzwerte für die Nährstoffzufuhr werden jeweils als Durchschnittsbedarf (AR) der angegebenen Alters- und Geschlechtsgruppen angegeben und sind für Einzelpersonen von begrenztem Nutzen. Sie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","1","1","1","y","1 Jahr PAL=1,4","1","0","Männlich",,,,,"NA",,777,"kcal/Tag","3,3","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","2","2","2","y","2 Jahre PAL=1,4","1","0","Männlich",,,,,"NA",,1028,"kcal/Tag","4,3","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","3","3","3","y","3 Jahre PAL=1,4","1","0","Männlich",,,,,"NA",,1174,"kcal/Tag","4,9","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","4","4","4","y","4 Jahre PAL=1,4","1","0","Männlich",,,,,"NA",,1256,"kcal/Tag","5,3","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","4","4","4","y","4 Jahre PAL=1,6","1","0","Männlich",,,,,"NA",,1436,"kcal/Tag","6","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","4","4","4","y","4 Jahre PAL=1,8","1","0","Männlich",,,,,"NA",,1615,"kcal/Tag","6,8","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","5","5","5","y","5 Jahre PAL=1,4","1","0","Männlich",,,,,"NA",,1332,"kcal/Tag","5,6","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","5","5","5","y","5 Jahre PAL=1,6","1","0","Männlich",,,,,"NA",,1522,"kcal/Tag","6,4","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","5","5","5","y","5 Jahre PAL=1,8","1","0","Männlich",,,,,"NA",,1712,"kcal/Tag","7,2","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","6","6","6","y","6 Jahre PAL=1,4","1","0","Männlich",,,,,"NA",,1409,"kcal/Tag","5,9","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","6","6","6","y","6 Jahre PAL=1,6","1","0","Männlich",,,,,"NA",,1610,"kcal/Tag","6,7","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","6","6","6","y","6 Jahre PAL=1,8","1","0","Männlich",,,,,"NA",,1811,"kcal/Tag","7,6","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","7","7","7","y","7 Jahre PAL=1,4","1","0","Männlich",,,,,"NA",,1497,"kcal/Tag","6,3","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","7","7","7","y","7 Jahre PAL=1,6","1","0","Männlich",,,,,"NA",,1711,"kcal/Tag","7,2","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","7","7","7","y","7 Jahre PAL=1,8","1","0","Männlich",,,,,"NA",,1925,"kcal/Tag","8,1","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","8","8","8","y","8 Jahre PAL=1,4","1","0","Männlich",,,,,"NA",,1592,"kcal/Tag","6,7","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","8","8","8","y","8 Jahre PAL=1,6","1","0","Männlich",,,,,"NA",,1819,"kcal/Tag","7,6","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","8","8","8","y","8 Jahre PAL=1,8","1","0","Männlich",,,,,"NA",,2046,"kcal/Tag","8,6","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","9","9","9","y","9 Jahre PAL=1,4","1","0","Männlich",,,,,"NA",,1684,"kcal/Tag","7","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","9","9","9","y","9 Jahre PAL=1,6","1","0","Männlich",,,,,"NA",,1925,"kcal/Tag","8,1","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","9","9","9","y","9 Jahre PAL=1,8","1","0","Männlich",,,,,"NA",,2165,"kcal/Tag","9,1","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","10","10","10","y","10 Jahre PAL=1,6","1","0","Männlich",,,,,"NA",,1933,"kcal/Tag","8,1","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","10","10","10","y","10 Jahre PAL=1,8","1","0","Männlich",,,,,"NA",,2174,"kcal/Tag","9,1","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","10","10","10","y","10 Jahre PAL=2,0","1","0","Männlich",,,,,"NA",,2416,"kcal/Tag","10,1","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","11","11","11","y","11 Jahre PAL=1,6","1","0","Männlich",,,,,"NA",,2043,"kcal/Tag","8,5","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
"Energy","Energy","Energie",,"Kinder","Kinder","11","11","11","y","11 Jahre PAL=1,8","1","0","Männlich",,,,,"NA",,2298,"kcal/Tag","9,6","MJ/Tag","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Für Kinder und Erwachsene wird der Durchschnittbedarf (AR) an Energie für verschiedene Grade der körperlichen Aktivität (PAL) angegeben. PAL-Werte von 1,4, 1,6, 1,8 und 2,0 spiegeln jeweils einen wenig aktiven (sitzenden), mäßig aktiven, aktiven bzw. sehr aktiven Lebensstil wider. ARs für Energie werden in Energieeinheiten ausgedrückt. 1 MJ = 238,83 kcal",,,"NA",,,,"NA",
