"Classification","Name","Translated","Forms","Target population","Target population Description","From Age","To Age","Age range","Age Unit","Age displayed","Male","Female","Lytis","SSI","SSI Unit","Additional information related to SSI results","Scientific Opinion SSI LINK","AIs","AIs Unit","ARs","ARs Unit","ARs alt","ARs alt Unit","PRIs","PRIs Unit","RI","RI Unit","YEAR","AUTHOR","Scientific Opinion on DRV","DOI","Scientific Opinion AR/PRI or AI or RI LINK","Additional information related to AR/PRI or AI or RI results","Additional information 2","Criteria used to set DRVs","UL","UL Unit","Scientific Opinion on the Tolerable Upper Intake Level ","Scientific Opinion UL LINK","Additional information related to UL results","Note for the webtool developer"
"Energy","Energy","Energija",,"Kūdikiai","Kūdikiai","10","10","10","mo","10 mėnesių","0","1","Moterys",,,,,"NA",,"2,7","MJ/day",656,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Maistinės referencinės vertės energijai pateikiamos kaip nustatytų amžiaus ir lyčių grupių vidutiniai poreikiai, o jų naudojimas atskirų asmenų atžvilgiu yra ribotas. Jos išreiškiamos energijos vienetais. 1 MJ = 238,83 kcal.
",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Kūdikiai","Kūdikiai","11","11","11","mo","11 mėnesių","0","1","Moterys",,,,,"NA",,"2,8","MJ/day",673,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Maistinės referencinės vertės energijai pateikiamos kaip nustatytų amžiaus ir lyčių grupių vidutiniai poreikiai, o jų naudojimas atskirų asmenų atžvilgiu yra ribotas. Jos išreiškiamos energijos vienetais. 1 MJ = 238,83 kcal.
",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","1","1","1","y","1 year PAL=1,4","1","0","Vyrai",,,,,"NA",,"3,3","MJ/day",777,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","2","2","2","y","2 metai PAL=1,4","1","0","Vyrai",,,,,"NA",,"4,3","MJ/day",1028,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","3","3","3","y","3 metai PAL=1,4","1","0","Vyrai",,,,,"NA",,"4,9","MJ/day",1174,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","4","4","4","y","4 metai PAL=1,4","1","0","Vyrai",,,,,"NA",,"5,3","MJ/day",1256,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","4","4","4","y","4 metai PAL=1,6","1","0","Vyrai",,,,,"NA",,"6","MJ/day",1436,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","4","4","4","y","4 metai PAL=1,8","1","0","Vyrai",,,,,"NA",,"6,8","MJ/day",1615,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","5","5","5","y","5 metai PAL=1,4","1","0","Vyrai",,,,,"NA",,"5,6","MJ/day",1332,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","5","5","5","y","5 metai PAL=1,6","1","0","Vyrai",,,,,"NA",,"6,4","MJ/day",1522,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","5","5","5","y","5 metai PAL=1,8","1","0","Vyrai",,,,,"NA",,"7,2","MJ/day",1712,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","6","6","6","y","6 metai PAL=1,4","1","0","Vyrai",,,,,"NA",,"5,9","MJ/day",1409,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","6","6","6","y","6 metai PAL=1,6","1","0","Vyrai",,,,,"NA",,"6,7","MJ/day",1610,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","6","6","6","y","6 metai PAL=1,8","1","0","Vyrai",,,,,"NA",,"7,6","MJ/day",1811,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","7","7","7","y","7 metai PAL=1,4","1","0","Vyrai",,,,,"NA",,"6,3","MJ/day",1497,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","7","7","7","y","7 metai PAL=1,6","1","0","Vyrai",,,,,"NA",,"7,2","MJ/day",1711,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","7","7","7","y","7 metai PAL=1,8","1","0","Vyrai",,,,,"NA",,"8,1","MJ/day",1925,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","8","8","8","y","8 metai PAL=1,4","1","0","Vyrai",,,,,"NA",,"6,7","MJ/day",1592,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","8","8","8","y","8 metai PAL=1,6","1","0","Vyrai",,,,,"NA",,"7,6","MJ/day",1819,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","8","8","8","y","8 metai PAL=1,8","1","0","Vyrai",,,,,"NA",,"8,6","MJ/day",2046,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","9","9","9","y","9 metai PAL=1,4","1","0","Vyrai",,,,,"NA",,"7","MJ/day",1684,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","9","9","9","y","9 metai PAL=1,6","1","0","Vyrai",,,,,"NA",,"8,1","MJ/day",1925,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","9","9","9","y","9 metai PAL=1,8","1","0","Vyrai",,,,,"NA",,"9,1","MJ/day",2165,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","10","10","10","y","10 metų PAL=1,6","1","0","Vyrai",,,,,"NA",,"8,1","MJ/day",1933,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","10","10","10","y","10 metų PAL=1,8","1","0","Vyrai",,,,,"NA",,"9,1","MJ/day",2174,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","10","10","10","y","10 metų PAL=2,0","1","0","Vyrai",,,,,"NA",,"10,1","MJ/day",2416,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","11","11","11","y","11 metų PAL=1,6","1","0","Vyrai",,,,,"NA",,"8,5","MJ/day",2043,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","11","11","11","y","11 metų PAL=1,8","1","0","Vyrai",,,,,"NA",,"9,6","MJ/day",2298,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Vaikai ir paaugliai","Vaikai ir paaugliai","11","11","11","y","11 metų PAL=2,0","1","0","Vyrai",,,,,"NA",,"10,7","MJ/day",2554,"kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Vaikų ir suaugusių asmenų atveju, vidutinių poreikių vertės energijai pateikiamos pagal skirtingus fizinio aktyvumo lygius . Fizinio aktyvumo lygių  vertės 1,4; 1,6; 1,8 ir 2,0 atitinka žemo aktyvumo (sėdimą) gyvenimo būdą, saikingai aktyvų, aktyvų ir labai aktyvų gyvenimo būdą.",,,"NA",,,,"NA",
